dateTime,studentID,scene,scenario,trialsCount,trialsOrder,trialsOrderIndex,trialNb,startObjNum,startObj,targetObjNb,targetObj,startRotation,correctRotation,angleToTarget,endRotation,rotationError,totalRotationError,avgRotationError
20220112_125142,1,5P,9,4,0-3-2-1,0,0,0,le drapeau,1,les cartons,314.9847,258.6468,57.11387,314.9847,56.33798,56.33798,56.33798
20220112_125142,1,5P,9,4,0-3-2-1,1,3,17,les bobines,7,l' affiche,47.26324,288.5838,118.6649,47.26324,241.3205,297.6585,148.8293
20220112_125142,1,5P,9,4,0-3-2-1,2,2,1,les cartons,7,l' affiche,139.2384,243.8058,104.5633,139.2384,104.5675,402.226,134.0753
20220112_125142,1,5P,9,4,0-3-2-1,3,1,2,le camion des éboueurs,3,le chevalet,144.6573,311.9152,164.2727,144.6573,167.2579,569.4839,142.371
