sessionTime,gameIsPause,sessionDistance,validationCount,attemptCount,attemptTime,attemptDistance,isGroupSession,groupID,studentIDs,scenario,selectedRoute,isSender,routeStart,selectedRouteCoord,posX,posZ,rotation,time,scene,routeIsValid,routeEndReached,routeErrorAt,routeLength,routeCoord,isOnCheckpoint,lastCheckpoint,isOnHotspot,lastHotspot
00:00,False,0.00,0,1,00:00,0.00,False,,1,8,1,True,1_1E,,35.00,35.00,90.00,00:17,5P,False,False,0,1,1_1,False,0,False,0
00:00,False,0.00,1,1,00:00,0.00,False,,1,8,1,True,1_1E,,35.00,35.00,90.00,00:18,5P,False,False,0,1,1_1,False,0,False,0
00:02,False,0.00,1,1,00:02,0.00,False,,1,8,1,True,1_1E,,35.00,35.00,90.00,00:19,5P,False,False,0,1,1_1,False,0,False,0
00:03,False,0.00,1,1,00:03,0.00,False,,1,8,1,True,1_1E,,35.00,35.00,90.00,00:20,5P,False,False,0,1,1_1,False,0,False,0
00:04,False,0.00,1,1,00:04,0.00,False,,1,8,1,True,1_1E,,35.00,35.00,90.00,00:21,5P,False,False,0,1,1_1,False,0,False,0
00:04,False,0.00,2,1,00:04,0.00,False,,1,8,1,True,1_1E,,35.00,35.00,90.00,00:22,5P,False,False,0,1,1_1,False,0,False,0
00:05,False,0.00,2,1,00:05,0.00,False,,1,8,1,True,1_1E,,35.00,35.00,90.00,00:23,5P,False,False,0,1,1_1,False,0,False,0
00:06,False,0.00,2,1,00:06,0.00,False,,1,8,1,True,1_1E,,35.00,35.00,90.00,00:24,5P,False,False,0,1,1_1,False,0,False,0
00:08,False,0.00,2,1,00:08,0.00,False,,1,8,1,True,1_1E,,35.00,35.00,90.00,00:25,5P,False,False,0,1,1_1,False,0,False,0
00:08,False,0.00,2,1,00:08,0.00,False,,1,8,1,True,1_1E,,35.00,35.00,90.00,00:26,5P,False,False,0,1,1_1,False,0,False,0
00:09,False,0.00,3,1,00:09,0.00,False,,1,8,1,True,1_1E,,35.00,35.00,90.00,00:27,5P,False,False,0,1,1_1,False,0,False,0
00:11,False,0.00,3,1,00:11,0.00,False,,1,8,1,True,1_1E,,35.00,35.00,90.00,00:28,5P,False,False,0,1,1_1,False,0,False,0
00:11,False,0.00,3,1,00:11,0.00,False,,1,8,1,True,1_1E,,35.00,35.00,90.00,00:29,5P,False,False,0,1,1_1,False,0,False,0
00:13,False,0.00,4,1,00:13,0.00,False,,1,8,1,True,1_1E,,35.00,35.00,90.00,00:30,5P,False,False,0,1,1_1,False,0,False,0
00:14,False,0.00,4,1,00:14,0.00,False,,1
