dateTime,studentID,scene,scenario,trialsCount,trialsOrder,trialsOrderIndex,trialNb,startObjNum,startObj,targetObjNb,targetObj,startRotation,correctRotation,angleToTarget,endRotation,rotationError,totalRotationError,avgRotationError
20220106_141100,1,5P,9,4,1-0-2-3,0,1,3,le camion des éboueurs,4,le chevalet,144.6573,311.9152,164.2727,312.3721,0.4569397,0.4569397,0.4569397
20220106_141100,1,5P,9,4,1-0-2-3,1,0,1,le drapeau,2,les cartons,314.9847,258.6468,57.11387,74.75427,183.8925,184.3494,Infinity
20220106_141100,1,5P,9,4,1-0-2-3,2,2,2,les cartons,7,le bidon d'essence,139.2384,254.884,115.5936,233.127,21.757,206.1064,103.0532
20220106_141100,1,5P,9,4,1-0-2-3,3,3,18,les bobines,7,le bidon d'essence,47.26324,300.5142,106.7224,47.26324,253.2509,459.3574,153.1191
