sessionTime,gameIsPause,sessionDistance,validationCount,attemptCount,attemptTime,attemptDistance,isGroupSession,groupID,studentIDs,scenario,selectedRoute,isSender,routeStart,selectedRouteCoord,posX,posZ,rotation,time,scene,routeIsValid,routeEndReached,routeErrorAt,routeLength,routeCoord,isOnCheckpoint,lastCheckpoint,isOnHotspot,lastHotspot
00:00,False,0.00,0,1,00:00,0.00,False,,1,8,1,True,1_1E,,35.00,35.00,90.00,00:23,5P,False,False,0,1,1_1,False,0,False,0
00:00,False,2.40,0,1,00:00,2.40,False,,1,8,1,True,1_1E,,37.64,35.00,90.00,00:24,5P,False,False,0,1,1_1,False,0,False,0
00:01,False,8.40,0,1,00:01,8.40,False,,1,8,1,True,1_1E,,43.64,35.01,86.00,00:25,5P,False,False,0,1,1_1,False,0,False,0
00:03,False,14.52,0,1,00:03,14.52,False,,1,8,1,True,1_1E,,49.40,36.16,78.00,00:26,5P,False,False,0,1,1_1,False,0,False,0
00:03,False,20.40,0,1,00:03,20.40,False,,1,8,1,True,1_1E,,55.39,37.43,78.00,00:27,5P,False,False,0,1,1_1,False,0,False,0
00:04,False,26.40,0,1,00:04,26.40,False,,1,8,1,True,1_1E,,61.22,38.81,66.00,00:28,5P,False,False,0,1,1_1,False,0,False,0
00:06,False,32.52,0,1,00:06,32.52,False,,1,8,1,True,1_1E,,66.59,41.20,66.00,00:29,5P,False,False,0,2,1_1-2_1,False,0,False,0
00:07,False,38.52,0,1,00:07,38.52,False,,1,8,1,True,1_1E,,70.92,45.11,23.00,00:30,5P,False,False,0,2,1_1-2_1,False,0,False,0
00:08,False,44.52,0,1,00:08,44.52,False,,1,8,1,True,1_1E,,71.01,50.99,349.00,00:31,5P,False,False,0,2,1_1-2_1,False,0,False,0
00:09,False,50.52,0,1,00:09,50.52,False,,1,8,1,True,1_1E,,71.18,56.93,9.00,00:32,5P,False,False,0,2,1_1-2_1,False,0,False,0
00:10,False,56.52,0,1,00:10,56.52,False,,1,8,1,True,1_1E,,70.67,62.76,331.00,00:33,5P,False,False,0,2,1_1-2_1,False,0,False,0
00:11,False,62.52,0,1,00:11,62.52,False,,1,8,1,True,1_1E,,67.86,67.96,353.00,00:34,5P,False,False,0,3,1_1-2_1-2_2,False,0,False,0
00:11,False,65.04,1,1,00:11,65.04,False,,1,8,1,True,1_1E,,68.00,70.47,22.00,00:35,5P,False,False,0,3,1_1-2_1-2_2,False,0,False,0
00:13,False,65.04,1,1,00:13,65.04,False,,1,8,1,True,1_1E,,68.00,70.47,71.00,00:36,5P,False,False,0,3,1_1-2_1-2_2,False,0,False,0
00:14,False,68.76,1,1,00:14,68.76,False,,1,8,1,True,1_1E,,71.72,70.40,91.00,00:37,5P,False,False,0,3,1_1-2_1-2_2,False,0,False,0
00:15,False,74.76,1,1,00:15,74.76,False,,1,8,1,True,1_1E,,77.71,70.30,91.00,00:38,5P,False,False,0,3,1_1-2_1-2_2,False,0,False,0
00:16,False,80.76,1,1,00:16,80.76,False,,1,8,1,True,1_1E,,83.71,70.20,91.00,00:39,5P,False,False,0,3,1_1-2_1-2_2,False,0,False,0
00:17,False,86.76,1,1,00:17,86.76,False,,1,8,1,True,1_1E,,89.71,70.09,91.00,00:40,5P,False,False,0,3,1_1-2_1-2_2,False,0,False,0
00:17,False,92.64,1,1,00:17,92.64,False,,1,8,1,True,1_1E,,95.83,69.98,91.00,00:41,5P,False,False,0,3,1_1-2_1-2_2,False,0,False,0
00:18,False,98.64,1,1,00:18,98.64,False,,1,8,1,True,1_1E,,101.83,69.88,91.00,00:42,5P,False,False,0,4,1_1-2_1-2_2-3_2,False,0,False,0
00:20,False,102.48,2,1,00:20,102.48,False,,1,8,1,True,1_1E,,105.43,69.82,91.00,00:43,5P,False,False,0,4,1_1-2_1-2_2-3_2,False,0,False,0
00:21,False,102.48,2,1,00:21,102.48,False,,1,8,1,True,1_1E,,105.43,69.82,127.00,0
