sessionTime,gameIsPause,sessionDistance,validationCount,attemptCount,attemptTime,attemptDistance,isGroupSession,groupID,studentIDs,scenario,selectedRoute,isSender,routeStart,selectedRouteCoord,posX,posZ,rotation,time,scene,routeIsValid,routeEndReached,routeErrorAt,routeLength,routeCoord,isOnCheckpoint,lastCheckpoint,isOnHotspot,lastHotspot
00:00,False,0.00,0,1,00:00,0.00,False,,1,8,1,True,1_1E,,35.00,35.00,90.00,01:27,5P,False,False,0,1,1_1,False,0,False,0
00:01,False,0.00,0,1,00:01,0.00,False,,1,8,1,True,1_1E,,35.00,35.00,90.00,01:28,5P,False,False,0,1,1_1,False,0,False,0
00:01,False,5.28,0,1,00:01,5.28,False,,1,8,1,True,1_1E,,40.52,35.00,90.00,01:29,5P,False,False,0,1,1_1,False,0,False,0
00:02,False,12.00,1,1,00:02,12.00,False,,1,8,1,True,1_1E,,35.00,35.00,90.00,01:30,5P,False,False,0,1,1_1,False,0,False,0
00:04,False,16.32,1,1,00:04,16.32,False,,1,8,1,True,1_1E,,39.32,35.00,90.00,01:31,5P,False,False,0,1,1_1,False,0,False,0
00:04,False,20.16,1,1,00:04,20.16,False,,1,8,1,True,1_1E,,43.40,35.00,90.00,01:32,5P,False,False,0,1,1_1,False,0,False,0
00:05,False,26.16,1,1,00:05,26.16,False,,1,8,1,True,1_1E,,49.39,35.23,85.00,01:33,5P,False,False,0,1,1_1,False,0,False,0
00:07,False,32.28,1,1,00:07,32.28,False,,1,8,1,True,1_1E,,55.17,36.23,75.00,01:34,5P,False,False,0,1,1_1,False,0,False,0
00:08,False,38.28,1,1,00:08,38.28,False,,1,8,1,True,1_1E,,60.96,37.78,75.00,01:35,5P,False,False,0,1,1_1,False,0,False,0
00:09,False,44.28,1,1,00:09,44.28,False,,1,8,1,True,1_1E,,66.31,40.33,54.00,01:36,5P,False,False,0,2,1_1-2_1,False,0,False,0
00:10,False,50.28,1,1,00:10,50.28,False,,1,8,1,True,1_1E,,69.44,45.29,19.00,01:37,5P,False,False,0,2,1_1-2_1,False,0,False,0
00:11,False,56.28,1,1,00:11,56.28,False,,1,8,1,True,1_1E,,70.34,51.19,3.00,01:38,5P,False,False,0,2,1_1-2_1,False,0,False,0
00:12,False,62.28,1,1,00:12,62.28,False,,1,8,1,True,1_1E,,70.01,57.16,352.00,01:39,5P,False,False,0,2,1_1-2_1,False,0,False,0
00:13,False,68.28,1,1,00:13,68.28,False,,1,8,1,True,1_1E,,69.97,63.15,1.00,01:40,5P,False,False,0,2,1_1-2_1,False,0,False,0
00:14,False,74.28,1,1,00:14,74.28,False,,1,8,1,True,1_1E,,70.07,69.15,1.00,01:41,5P,False,False,0,3,1_1-2_1-2_2,False,0,False,0
00:15,False,74.76,2,1,00:15,74.76,False,,1,8,1,True,1_1E,,70.08,69.63,1.00,01:42,5P,False,False,0,3,1_1-2_1-2_2,False,0,False,0
00:16,False,74.76,2,1,00:16,74.76,False,,1,8,1,True,1_1E,,70.08,69.63,1.00,01:43,5P,False,False,0,3,1_1-2_1-2_2,False,0,False,0
00:17,False,74.76,2,1,00:17,74.76,False,,1,8,1,True,1_1E,,70.08,69.63,39.00,01:44,5P,False,False,0,3,1_1-2_1-2_2,False,0,False,0
00:18,False,78.48,2,1,00:18,78.48,False,,1,8,1,True,1_1E,,73.04,71.88,49.00,01:45,5P,False,False,0,3,1_1-2_1-2_2,False,0,False,0
00:18,False,84.34,2,1,00:18,84.34,False,,1,8,1,True,1_1E,,75.31,77.20,357.99,01:46,5P,False,False,0,3,1_1-2_1-2_2,False,0,False,0
00:20,False,89.40,2,1,00:20,89.40,False,,1,8,1,True,1_1E,,73.16,81.51,324.01,01:47,5P,False,False,0,3,1_1-2_1-2_2,False,0,False,0
00:20,False,101.34,3,1,00:20,101.34,False,,1,8,1,True,1_1E,,70.00,70.00,90.17,01:48,5P,False,False,0,3,1_1-2_1-2_2,False,0,False,0
00:22,False,101.34,3,1,00:22,101.34,False,,1,8,1,True,1_1E,,70.00,70.00,90.17,01:49,5P,False,False,0,3,1_1-2_1-2_2,False,0,False,0
00:23,False,101.34,3,1,00:23,101.34,False,,1,8,1,True,1_1E,,70.00,70.00,90.17,01:50,5P,False,False,0,3,1_1-2_1-2_2,False,0,False,0
00:24,False,101.34,3,1,00:24,101.34,False,,1,8,1,True,1_1E,,70.00,70.00,90.17,01:51,5P,False,False,0,3,1_1-2_1-2_2,False,0,False,0
00:24,False,101.34,3,1,00:24,101.34,False,,1,8,1,True,1_1E,,70.00,70.00,90.17,01:52,5P,False,False,0,3,1_1-2_1-2_2,False,0,False,0
00:25,False,101.34,3,1,00:25,101.34,False,,1,8,1,True,1_1E,,70.00,70.00,90.17,01:53,5P,False,False,0,3,1_1-2_1-2_2,False,0,False,0
00:27,False,101.34,3,1,00:27,101.34,False,,1,8,1,True,1_1E,,70.00,70.00,90.17,01:54,5P,False,False,0,3,1_1-2_1-2_2,False,0,False,0
00:28,False,101.34,3,1,00:28,101.34,False,,1,8,1,True,1_1E,,70.00,70.00,90.17,01:55,5P,False,False,0,3,1_1-2_1-2_2,False,0,False,0
00:28,False,101.34,3,1,00:28,101.34,False,,1,8,1,True,1_1E,,70.00,70.00,90.17,01:56,5P,False,False,0,3,1_1-2_1-2_2,False,0,False,0
00:30,False,101.34,3,1,00:30,101.34,False,,1,8,1,True,1_1E,,70.00,70.00,90.17,01:57,5P,False,False,0,3,1_1-2_1-2_2,False,0,False,0
00:30,False,101.34,3,1,00:30,101.34,False,,1,8,1,True,1_1E,,70.00,70.00,90.17,02:10,5P,False,False,0,3,1_1-2_1-2_2,False,0,False,0
00:32,False,101.34,3,1,00:32,101.34,False,,1,8,1,True,1_1E,,70.00,70.00,90.00,02:11,5P,False,False,0,3,1_1-2_1-2_2,False,0,False,0
00:33,False,103.98,3,1,00:33,103.98,False,,1,8,1,True,1_1E,,72.64,70.00,90.00,02:12,5P,False,False,0,3,1_1-2_1-2_2,False,0,False,0
00:33,False,109.86,3,1,00:33,109.86,False,,1,8,1,True,1_1E,,78.76,70.00,90.00,02:13,5P,False,False,0,3,1_1-2_1-2_2,False,0,False,0
00:35,False,115.98,3,1,00:35,115.98,False,,1,8,1,True,1_1E,,84.55,69.30,107.00,02:14,5P,False,False,0,3,1_1-2_1-2_2,False,0,False,0
00:36,False,121.98,3,1,00:36,121.98,False,,1,8,1,True,1_1E,,89.48,66.12,140.00,02:15,5P,False,False,0,3,1_1-2_1-2_2,False,0,False,0
00:37,False,124.91,3,1,00:37,124.91,False,,1,8,1,True,1_1E,,92.10,65.48,140.00,02:16,5P,False,False,0,3,1_1-2_1-2_2,False,0,False,0
00:38,False,128.38,3,1,00:38,128.38,False,,1,8,1,True,1_1E,,95.56,65.42,156.00,02:17,5P,False,False,0,3,1_1-2_1-2_2,False,0,False,0
00:39,False,132.81,3,1,00:39,132.81,False,,1,8,1,True,1_1E,,99.46,63.16,165.92,02:18,5P,False,False,0,4,1_1-2_1-2_2-3_2,False,0,False,0
00:40,False,138.80,3,1,00:40,138.80,False,,1,8,1,True,1_1E,,100.62,57.60,176.99,02:19,5P,False,False,0,4,1_1-2_1-2_2-3_2,False,0,False,0
00:41,False,144.80,3,1,00:41,144.80,False,,1,8,1,True,1_1E,,101.60,51.74,157.99,02:20,5P,False,False,0,4,1_1-2_1-2_2-3_2,False,0,False,0
00:42,False,150.80,3,1,00:42,150.80,False,,1,8,1,True,1_1E,,104.52,46.51,157.00,02:21,5P,False,False,0,4,1_1-2_1-2_2-3_2,False,0,False,0
00:43,False,156.80,3,1,00:43,156.80,False,,1,8,1,True,1_1E,,105.09,40.59,180.00,02:22,5P,False,False,0,5,1_1-2_1-2_2-3_2-3_1,False,0,False,0
00:44,False,161.00,3,1,00:44,161.00,False,,1,8,1,True,1_1E,,105.09,36.39,180.00,02:23,5P,False,False,0,5,1_1-2_1-2_2-3_2-3_1,False,0,False,0
00:44,False,212.24,4,1,00:44,212.24,False,,1,8,1,True,1_1E,,70.00,70.00,89.92,02:24,5P,False,False,0,6,1_1-2_1-2_2-3_2-3_1-2_2,False,0,False,0
00:46,False,212.24,4,1,00:46,212.24,False,,1,8,1,True,1_1E,,70.00,70.00,89.92,02:25,5P,False,False,0,6,1_1-2_1-2_2-3_2-3_1-2_2,False,0,False,0
00:47,False,212.24,4,1,00:47,212.24,False,,1,8,1,True,1_1E,,70.00,70.00,90.00,02:26,5P,False,False,0,6,1_1-2_1-2_2-3_2-3_1-2_2,False,0,False,0
00:48,False,213.80,4,1,00:48,213.80,False,,1,8,1,True,1_1E,,71.56,70.00,90.00,02:27,5P,False,False,0,6,1_1-2_1-2_2-3_2-3_1-2_2,False,0,False,0
00:48,False,219.68,4,1,00:48,219.68,False,,1,8,1,True,1_1E,,77.68,70.00,90.00,02:28,5P,False,False,0,6,1_1-2_1-2_2-3_2-3_1-2_2,False,0,False,0
00:50,False,225.80,4,1,00:50,225.80,False,,1,8,1,True,1_1E,,83.56,70.00,90.00,02:29,5P,False,False,0,6,1_1-2_1-2_2-3_2-3_1-2_2,False,0,False,0
00:51,False,231.80,4,1,00:51,231.80,False,,1,8,1,True,1_1E,,89.56,70.00,90.00,02:30,5P,False,False,0,6,1_1-2_1-2_2-3_2-3_1-2_2,False,0,False,0
00:52,False,237.80,4,1,00:52,237.80,False,,1,8,1,True,1_1E,,95.56,70.00,90.00,02:31,5P,False,False,0,6,1_1-2_1-2_2-3_2-3_1-2_2,False,0,False,0
00:53,False,243.80,4,1,00:53,243.80,False,,1,8,1,True,1_1E,,101.56,70.00,90.00,02:32,5P,False,False,0,7,1_1-2_1-2_2-3_2-3_1-2_2-3_2,False,0,False,0
00:54,False,247.28,4,1,00:54,247.28,False,,1,8,1,True,1_1E,,105.04,70.00,90.00,02:33,5P,False,False,0,7,1_1-2_1-2_2-3_2-3_1-2_2-3_2,False,0,False,0
00:54,False,247.28,5,1,00:54,247.28,False,,1,8,1,True,1_1E,,105.04,70.00,90.00,02:34,5P,False,False,0,7,1_1-2_1-2_2-3_2-3_1-2_2-3_2,False,0,False,0
00:55,False,247.28,5,1,00:55,247.28,False,,1,8,1,True,1_1E,,105.04,70.00,99.00,02:35,5P,False,False,0,7,1_1-2_1-2_2-3_2-3_1-2_2-3_2,False,0,False,0
00:57,False,247.28,5,1,00:57,247.28,False,,1,8,1,True,1_1E,,105.04,70.00,148.00,02:36,5P,False,False,0,7,1_1-2_1-2_2-3_2-3_1-2_2-3_2,False,0,False,0
00:57,False,249.92,5,1,00:57,249.92,False,,1,8,1,True,1_1E,,105.44,67.15,172.00,02:37,5P,False,False,0,7,1_1-2_1-2_2-3_2-3_1-2_2-3_2,False,0,False,0
00:59,False,260.43,6,1,00:59,260.43,False,,1,8,1,True,1_1E,,105.00,70.00,180.00,02:38,5P,False,False,0,7,1_1-2_1-2_2-3_2-3_1-2_2-3_2,False,0,False,0
00:59,False,260.43,6,1,00:59,260.43,False,,1,8,1,True,1_1E,,105.00,70.00,180.00,02:39,5P,False,False,0,7,1_1-2_1-2_2-3_2-3_1-2_2-3_2,False,0,False,0
01:01,False,260.43,6,1,01:01,260.43,False,,1,8,1,True,1_1E,,105.00,70.00,180.00,02:40,5P,False,False,0,7,1_1-2_1-2_2-3_2-3_1-2_2-3_2,False,0,False,0
01:02,False,266.31,6,1,01:02,266.31,False,,1,8,1,True,1_1E,,105.00,64.12,180.00,02:41,5P,False,False,0,7,1_1-2_1-2_2-3_2-3_1-2_2-3_2,False,0,False,0
01:03,False,272.31,6,1,01:03,272.31,False,,1,8,1,True,1_1E,,105.00,58.12,180.00,02:42,5P,False,False,0,7,1_1-2_1-2_2-3_2-3_1-2_2-3_2,False,0,False,0
01:04,False,278.31,6,1,01:04,278.31,False,,1,8,1,True,1_1E,,105.00,52.12,180.00,02:43,5P,False,False,0,7,1_1-2_1-2_2-3_2-3_1-2_2-3_2,False,0,False,0
01:05,False,284.31,6,1,01:05,284.31,False,,1,8,1,True,1_1E,,105.00,46.12,180.00,02:44,5P,False,False,0,7,1_1-2_1-2_2-3_2-3_1-2_2-3_2,False,0,False,0
01:06,False,290.31,6,1,01:06,290.31,False,,1,8,1,True,1_1E,,105.00,40.12,180.00,02:45,5P,False,False,0,8,1_1-2_1-2_2-3_2-3_1-2_2-3_2-3_1,False,0,False,0
01:07,False,294.63,6,1,01:07,294.63,False,,1,8,1,True,1_1E,,105.00,35.80,180.00,02:46,5P,False,False,0,8,1_1-2_1-2_2-3_2-3_1-2_2-3_2-3_1,False,0,False,0
01:08,False,295.59,6,1,01:08,295.59,False,,1,8,1,True,1_1E,,105.00,34.84,180.00,02:47,5P,False,False,0,8,1_1-2_1-2_2-3_2-3_1-2_2-3_2-3_1,False,0,False,0
01:09,False,295.59,7,1,01:09,295.59,False,,1,8,1,True,1_1E,,105.00,34.84,180.00,02:48,5P,False,False,0,8,1_1-2_1-2_2-3_2-3_1-2_2-3_2-3_1,False,0,False,0
01:10,False,295.59,7,1,01:10,295.59,False,,1,8,1,True,1_1E,,105.00,34.84,180.00,02:49,5P,False,False,0,8,1_1-2_1-2_2-3_2-3_1-2_2-3_2-3_1,False,0,False,0
01:11,False,296.91,7,1,01:11,296.91,False,,1,8,1,True,1_1E,,105.00,33.52,180.00,02:50,5P,False,False,0,8,1_1-2_1-2_2-3_2-3_1-2_2-3_2-3_1,False,0,False,0
01:12,False,302.19,7,1,01:12,302.19,False,,1,8,1,True,1_1E,,105.00,28.24,180.00,02:51,5P,False,False,0,
