sessionTime,gameIsPause,sessionDistance,validationCount,attemptCount,attemptTime,attemptDistance,isGroupSession,groupID,studentIDs,scenario,selectedRoute,isSender,routeStart,selectedRouteCoord,posX,posZ,rotation,time,scene,routeIsValid,routeEndReached,routeErrorAt,routeLength,routeCoord,isOnCheckpoint,lastCheckpoint,isOnHotspot,lastHotspot
00:00,False,0.00,0,1,00:00,0.00,False,,1,6,1,True,5_2W,,175.00,70.00,270.00,01:46,5P,False,False,0,1,5_2,False,0,False,0
00:01,False,0.00,0,1,00:01,0.00,False,,1,6,1,True,5_2W,,175.00,70.00,296.92,01:47,5P,False,False,0,1,5_2,False,0,False,0
00:02,False,0.00,0,1,00:02,0.00,False,,1,6,1,True,5_2W,,175.00,70.00,346.92,01:48,5P,False,False,0,1,5_2,False,0,False,0
00:03,False,0.00,0,1,00:03,0.00,False,,1,6,1,True,5_2W,,175.00,70.00,36.92,01:49,5P,False,False,0,1,5_2,False,0,False,0
00:04,False,0.00,0,1,00:04,0.00,False,,1,6,1,True,5_2W,,175.00,70.00,86.92,01:50,5P,False,False,0,1,5_2,False,0,False,0
00:04,False,0.00,0,1,00:04,0.00,False,,1,6,1,True,5_2W,,175.00,70.00,123.55,01:51,5P,False,False,0,1,5_2,False,0,False,0
00:05,False,0.00,0,1,00:05,0.00,False,,1,6,1,True,5_2W,,175.00,70.00,164.82,01:52,5P,False,False,0,1,5_2,False,0,False,0
00:07,False,4.46,0,1,00:07,4.46,False,,1,6,1,True,5_2W,,176.17,65.70,164.82,01:53,5P,False,False,0,1,5_2,False,0,False,0
00:07,False,5.15,0,1,00:07,5.15,False,,1,6,1,True,5_2W,,176.69,65.50,145.72,01:54,5P,False,False,0,1,5_2,False,0,False,0
00:09,False,5.15,0,1,00:09,5.15,False,,1,6,1,True,5_2W,,176.69,65.50,96.72,01:55,5P,False,False,0,1,5_2,False,0,False,0
00:10,False,5.15,0,1,00:10,5.15,False,,1,6,1,True,5_2W,,176.69,65.50,46.72,01:56,5P,False,False,0,1,5_2,False,0,False,0
00:10,False,5.15,0,1,00:10,5.15,False,,1,6,1,True,5_2W,,176.69,65.50,8.50,01:57,5P,False,False,0,1,5_2,False,0,False,0
00:12,False,5.25,0,1,00:12,5.25,False,,1,6,1,True,5_2W,,176.64,65.08,3.38,01:58,5P,False,False,0,1,5_2,False,0,False,0
00:13,False,8.73,0,1,00:13,8.73,False,,1,6,1,True,5_2W,,176.57,63.53,352.78,01:59,5P,False,False,0,1,5_2,False,0,False,0
00:14,False,9.19,0,1,00:14,9.19,False,,1,6,1,True,5_2W,,176.13,63.53,352.78,02:00,5P,False,False,0,1,5_2,False,0,False,0
00:14,False,10.14,0,1,00:14,10.14,False,,1,6,1,True,5_2W,,175.08,63.53,333.22,02:01,5P,False,False,0,1,5_2,False,0,False,0
00:15,False,12.69,0,1,00:15,12.69,False,,1,6,1,True,5_2W,,172.63,63.50,326.56,02:02,5P,False,False,0,1,5_2,False,0,False,0
00:16,False,13.33,0,1,00:16,13.33,False,,1,6,1,True,5_2W,,171.95,63.53,348.99,02:03,5P,False,False,0,1,5_2,False,0,False,0
00:17,False,14.78,0,1,00:17,14.78,False,,1,6,1,True,5_2W,,173.28,63.52,36.29,02:04,5P,False,False,0,1,5_2,False,0,False,0
00:18,False,19.48,0,1,00:18,19.48,False,,1,6,1,True,5_2W,,178.12,63.51,74.12,02:05,5P,False,False,0,1,5_2,False,0,False,0
00:19,False,23.08,0,1,00:19,23.08,False,,1,6,1,True,5_2W,,181.29,63.85,46.89,02:06,5P,False,False,0,1,5_2,False,0,False,0
00:20,False,24.76,0,1,00:20,24.76,False,,1,6,1,True,5_2W,,180.89,63.62,10.39,02:07,5P,False,False,0,1,5_2,False,0,False,0
00:21,False,25.69,0,1,00:21,25.69,False,,1,6,1,True,5_2W,,180.93,63.65,19.87,02:08,5P,False,False,0,1,5_2,False,0,False,0
00:23,False,27.29,0,1,00:23,27.29,False,,1,6,1,True,5_2W,,181.31,64.01,38.15,02:09,5P,False,False,0,1,5_2,False,0,False,0
00:24,False,29.16,0,1,00:24,29.16,False,,1,6,1,True,5_2W,,180.98,63.56,0.42,02:10,5P,False,False,0,1,5_2,False,0,False,0
00:24,False,29.69,0,1,00:24,29.69,False,,1,6,1,True,5_2W,,180.90,63.55,17.84,02:11,5P,False,False,0,1,5_2,False,0,False,0
00:25,False,30.73,0,1,00:25,30.73,False,,1,6,1,True,5_2W,,180.88,63.54,7.26,02:12,5P,False,False,0,1,5_2,False,0,False,0
00:26,False,32.43,0,1,00:26,32.43,False,,1,6,1,True,5_2W,,179.26,63.52,317.69,02:13,5P,False,False,0,1,5_2,False,0,False,0
00:28,False,36.94,0,1,00:28,36.94,False,,1,6,1,True,5_2W,,180.19,62.63,294.23,02:14,5P,False,False,0,1,5_2,False,0,False,0
00:28,False,36.96,0,1,00:28,36.96,False,,1,6,1,True,5_2W,,180.17,62.64,301.13,02:15,5P,False,False,0,1,5_2,False,0,False,0
00:30,False,36.98,0,1,00:30,36.98,False,,1,6,1,True,5_2W,,180.15,62.65,326.08,02:16,5P,False,False,0,1,5_2,False,0,False,0
00:31,False,38.29,0,1,00:31,38.29,False,,1,6,1,True,5_2W,,179.30,63.52,326.08,02:17,5P,False,False,0,1,5_2,False,0,False,0
00:31,False,39.66,0,1,00:31,39.66,False,,1,6,1,True,5_2W,,177.71,63.51,295.52,02:18,5P,False,False,0,1,5_2,False,0,False,0
