dateTime,studentID,scene,scenario,trialsCount,trialsOrder,trialsOrderIndex,trialNb,startObjNum,startObj,targetObjNb,targetObj,startRotation,correctRotation,angleToTarget,endRotation,rotationError,totalRotationError,avgRotationError
20220106_170814,1,5P,9,4,0-1-3-2,0,0,1,le drapeau,2,les cartons,314.9847,258.6468,57.11387,270.3031,11.65634,11.65634,Infinity
20220106_170814,1,5P,9,4,0-1-3-2,1,1,3,le camion des éboueurs,4,le chevalet,144.6573,311.9152,164.2727,222.0752,89.83994,101.4963,101.4963
20220106_170814,1,5P,9,4,0-1-3-2,2,3,18,les bobines,7,le bidon d'essence,47.26324,300.5142,106.7224,92.40582,208.1083,309.6046,103.2015
20220106_170814,1,5P,9,4,0-1-3-2,3,2,2,les cartons,7,le bidon d'essence,139.2384,254.884,115.5936,175.4454,79.43864,389.0433,194.5216
