sessionTime,gameIsPause,sessionDistance,validationCount,attemptCount,attemptTime,attemptDistance,isGroupSession,groupID,studentIDs,scenario,selectedRoute,isSender,routeStart,selectedRouteCoord,posX,posZ,rotation,time,scene,routeIsValid,routeEndReached,routeErrorAt,routeLength,routeCoord,isOnCheckpoint,lastCheckpoint,isOnHotspot,lastHotspot
00:00,False,0.00,0,1,00:00,0.00,False,,1,6,1,True,0_4.5E,,0.00,157.50,90.00,01:04,5P,False,False,0,0,,False,0,False,0
00:00,False,3.02,0,1,00:00,3.02,False,,1,6,1,True,0_4.5E,,-3.00,157.22,71.44,01:05,5P,False,False,0,0,,False,0,False,0
00:02,False,4.90,0,1,00:02,4.90,False,,1,6,1,True,0_4.5E,,-1.90,158.74,34.65,01:06,5P,False,False,0,0,,False,0,False,0
00:03,False,10.82,0,1,00:03,10.82,False,,1,6,1,True,0_4.5E,,1.02,163.84,20.31,01:07,5P,False,False,0,0,,False,0,False,0
00:04,False,13.62,0,1,00:04,13.62,False,,1,6,1,True,0_4.5E,,3.36,164.52,37.39,01:08,5P,False,False,0,0,,False,0,False,0
00:05,False,14.83,0,1,00:05,14.83,False,,1,6,1,True,0_4.5E,,4.52,164.59,33.39,01:09,5P,False,False,0,0,,False,0,False,0
00:05,False,14.92,0,1,00:05,14.92,False,,1,6,1,True,0_4.5E,,4.50,164.50,89.04,01:10,5P,False,False,0,0,,False,0,False,0
00:07,False,17.87,0,1,00:07,17.87,False,,1,6,1,True,0_4.5E,,1.59,164.50,138.04,01:11,5P,False,False,0,0,,False,0,False,0
00:08,False,17.87,0,1,00:08,17.87,False,,1,6,1,True,0_4.5E,,1.59,164.50,188.04,01:12,5P,False,False,0,0,,False,0,False,0
00:09,False,23.51,0,1,00:09,23.51,False,,1,6,1,True,0_4.5E,,0.75,158.95,181.68,01:13,5P,False,False,0,0,,False,0,False,0
00:10,False,29.50,0,1,00:10,29.50,False,,1,6,1,True,0_4.5E,,0.84,152.97,173.03,01:14,5P,False,False,0,0,,False,0,False,0
00:11,False,35.04,0,1,00:11,35.04,False,,1,6,1,True,0_4.5E,,1.51,147.48,173.03,01:15,5P,False,False,0,0,,False,0,False,0
00:12,False,40.92,0,1,00:12,40.92,False,,1,6,1,True,0_4.5E,,2.99,141.86,144.83,01:16,5P,False,False,0,1,0_4,False,0,False,0
00:13,False,46.92,0,1,00:13,46.92,False,,1,6,1,True,0_4.5E,,6.90,137.33,126.83,01:17,5P,False,False,0,1,0_4,False,0,False,0
00:13,False,52.80,0,1,00:13,52.80,False,,1,6,1,True,0_4.5E,,12.71,135.98,87.12,01:18,5P,False,False,0,1,0_4,False,0,False,0
00:15,False,58.92,0,1,00:15,58.92,False,,1,6,1,True,0_4.5E,,18.47,136.95,67.19,01:19,5P,False,False,0,1,0_4,False,0,False,0
00:16,False,64.92,0,1,00:16,64.92,False,,1,6,1,True,0_4.5E,,23.29,140.49,50.70,01:20,5P,False,False,0,1,0_4,False,0,False,0
00:17,False,70.92,0,1,00:17,70.92,False,,1,6,1,True,0_4.5E,,27.91,144.32,44.94,01:21,5P,False,False,0,1,0_4,False,0,False,0
00:18,False,76.92,0,1,00:18,76.92,False,,1,6,1,True,0_4.5E,,31.07,149.39,34.55,01:22,5P,False,False,0,2,0_4-1_4,False,0,False,0
00:19,False,81.56,0,1,00:19,81.56,False,,1,6,1,True,0_4.5E,,34.04,152.95,40.65,01:23,5P,False,False,0,2,0_4-1_4,False,0,False,0
00:20,False,83.39,0,1,00:20,83.39,False,,1,6,1,True,0_4.5E,,34.32,154.75,6.86,01:24,5P,False,False,0,2,0_4-1_4,False,0,False,0
00:21,False,88.81,0,1,00:21,88.81,False,,1,6,1,True,0_4.5E,,34.68,160.14,359.23,01:25,5P,False,False,0,2,0_4-1_4,False,0,False,0
00:22,False,93.21,0,1,00:22,93.21,False,,1,6,1,True,0_4.5E,,34.60,164.53,359.23,01:26,5P,False,False,0,2,0_4-1_4,False,0,False,0
00:23,False,93.39,0,1,00:23,93.39,False,,1,6,1,True,0_4.5E,,34.65,164.53,11.08,01:27,5P,False,False,0,2,0_4-1_4,False,0,False,0
00:24,False,96.56,0,1,00:24,96.56,False,,1,6,1,True,0_4.5E,,37.82,164.52,43.08,01:28,5P,False,False,0,2,0_4-1_4,False,0,False,0
00:25,False,98.30,0,1,00:25,98.30,False,,1,6,1,True,0_4.5E,,39.52,164.59,31.74,01:29,5P,False,False,0,2,0_4-1_4,False,0,False,0
00:26,False,98.39,0,1,00:26,98.39,False,,1,6,1,True,0_4.5E,,39.50,164.50,87.90,01:30,5P,False,False,0,2,0_4-1_4,False,0,False,0
00:26,False,101.38,0,1,00:26,101.38,False,,1,6,1,True,0_4.5E,,36.52,164.50,84.38,01:31,5P,False,False,0,2,0_4-1_4,False,0,False,0
00:28,False,101.54,0,1,00:28,101.54,False,,1,6,1,True,0_4.5E,,36.68,164.51,35.38,01:32,5P,False,False,0,2,0_4-1_4,False,0,False,0
