dateTime,studentID,scene,scenario,trialsCount,trialsOrder,trialsOrderIndex,trialNb,startObjNum,startObj,targetObjNb,targetObj,startRotation,correctRotation,angleToTarget,endRotation,rotationError,totalRotationError,avgRotationError
20220112_135215,1,5P,9,4,1-3-2-0,0,1,2,le camion des éboueurs,3,le chevalet,144.6573,311.9152,164.2727,176.6572,135.2579,135.2579,135.2579
20220112_135215,1,5P,9,4,1-3-2-0,1,3,17,les bobines,7,l' affiche,47.26324,288.5838,118.6649,87.26321,201.3206,336.5785,168.2892
20220112_135215,1,5P,9,4,1-3-2-0,2,2,1,les cartons,7,l' affiche,139.2384,243.8058,104.5633,105.2383,138.5675,475.146,158.382
